N, M_i(g), 10T(ms)
0, 0.00, 10150.1
1, 4.82, 10340.0
2, 9.50, 10522.9
3, 14.20, 10699.9
4, 18.96, 10876.8
5, 23.57, 11046.9
6, 28.35, 11220.4
