N,M_i(g),10T(ms),T_s,T2_s2,M_kg
0,0.0,10150.1,1.01501,1.0302453001,0.12057
1,4.82,10340.0,1.034,1.069156,0.12539
2,9.5,10522.9,1.05229,1.1073142441,0.13007
3,14.2,10699.9,1.06999,1.1448786001,0.13477
4,18.96,10876.8,1.08768,1.1830477823999999,0.13953
5,23.57,11046.9,1.10469,1.2203399960999999,0.14414
6,28.35,11220.4,1.12204,1.2589737615999999,0.14892
