N,M_i(g),L_1(cm),L_2(cm),x1_m,x2_m,F_N
0,0.0,25.61,35.402,0.0,0.0,0.0
1,4.82,27.544,37.452,0.01934000000000001,0.020499999999999973,0.047207080000000005
2,9.5,29.386,39.5,0.037759999999999995,0.04097999999999999,0.093043
3,14.2,31.126,41.506,0.055160000000000015,0.06103999999999999,0.1390748
4,18.96,33.032,43.468,0.07421999999999997,0.08066000000000002,0.18569424
5,23.57,34.852,45.55,0.09241999999999997,0.10147999999999996,0.23084458000000002
6,28.35,36.718,47.546,0.11108000000000004,0.12143999999999998,0.2776599
