N,x'(cm),t(ms),A_m,t_s,v_m_s,A2_m2,v2_m2_s2
0,70.0,24.74,0.07450000000000002,0.024739999999999998,0.40824575586095396,0.005550250000000004,0.16666459717848162
1,75.0,13.57,0.12450000000000003,0.01357,0.744288872512896,0.015500250000000007,0.5539659257465179
2,80.0,9.94,0.17450000000000002,0.00994,1.0160965794768613,0.030450250000000005,1.0324522588245775
3,85.0,7.62,0.22450000000000003,0.00762,1.3254593175853018,0.050400250000000014,1.756842402573694
4,90.0,6.26,0.2745,0.00626,1.6134185303514377,0.07535025000000001,2.603119354081393
5,95.0,5.28,0.3245,0.00528,1.9128787878787878,0.10530025000000001,3.6591052571166207
