U(V),I(mA)
0.00,36.31
0.22,36.46
0.74,36.30
1.25,36.10
1.76,35.86
2.25,35.67
3.00,35.60
3.48,35.44
3.75,35.41
4.34,35.26
5.07,34.99
5.39,34.22
5.56,33.45
5.63,32.84
5.71,32.00
5.78,30.90
5.86,29.41
5.93,27.65
6.03,24.65
6.12,21.01
6.19,18.15
6.25,14.86
6.30,11.79
6.34,8.92
6.38,6.49
6.43,2.27
6.46,0.00
