U(V),I(mA)
0.00,38.15
0.82,38.19
1.23,38.10
1.58,38.04
2.05,37.84
2.23,37.62
2.31,37.36
2.36,36.97
2.41,36.28
2.46,35.40
2.51,34.27
2.56,33.08
2.62,31.45
2.68,30.00
2.73,28.38
2.77,27.07
2.84,24.68
2.96,20.16
3.02,17.38
3.10,13.67
3.13,11.87
3.15,10.88
3.17,9.36
3.20,7.42
3.23,5.79
3.25,4.15
3.35,0.00
