U(V),I(mA)
0.00,39.27
0.10,39.24
1.20,39.13
2.18,39.02
2.51,38.80
2.79,36.80
2.89,34.51
2.94,32.71
2.98,31.24
3.02,29.55
3.05,27.59
3.09,25.05
3.11,23.20
3.14,20.76
3.16,18.26
3.18,16.61
3.19,15.30
3.20,13.82
3.21,11.61
3.23,9.37
3.24,7.74
3.25,6.53
3.26,4.82
3.27,3.33
3.28,0.00
