U(V),I(mA)
3.25,0.00
3.23,0.87
3.22,1.44
3.20,1.99
3.19,2.35
3.16,3.23
3.14,4.15
3.11,5.17
3.05,7.01
3.00,8.40
2.93,10.12
2.81,12.85
2.72,14.28
2.60,15.97
2.45,17.40
2.07,18.33
1.75,18.39
1.46,18.43
1.24,18.42
0.92,18.54
0.70,18.51
0.47,18.50
0.20,18.64
0.00,18.76
