U(V),I(mA)
0.00,33.96
0.20,33.83
0.34,33.82
0.48,33.79
0.60,33.87
0.81,33.85
1.01,33.82
1.36,33.72
1.54,33.63
1.85,33.67
2.07,33.59
2.33,31.55
2.38,30.84
2.41,30.35
2.45,29.68
2.50,28.72
2.57,27.31
2.59,26.76
2.63,25.83
2.80,21.31
2.85,19.82
2.94,17.05
3.00,14.96
3.05,13.19
3.11,10.47
3.14,9.24
3.22,5.22
3.27,2.41
3.34,0.00
