U(V),I(mA)
0.00,18.30
0.10,18.25
0.36,18.22
0.57,18.23
0.81,18.21
1.21,18.23
1.62,18.19
1.91,18.12
2.31,17.67
2.91,17.44
3.63,17.27
4.37,17.14
4.93,17.04
5.58,16.88
5.86,16.43
6.02,15.45
6.08,14.78
6.11,14.30
6.13,13.82
6.17,13.15
6.22,11.71
6.26,10.48
6.30,8.94
6.33,7.70
6.34,7.12
6.36,5.90
6.38,4.79
6.40,3.80
6.42,2.73
6.44,1.65
6.44,1.29
6.45,0.00
